order_id,date,customer_id,product_id,revenue,quantity,region,channel
ORD_0,2023-02-19,CUST_268,PROD_83,1291.4,4,Asia,Mobile
ORD_1,2023-01-10,CUST_30,PROD_46,1417.68,3,Europe,Mobile
ORD_2,2023-02-26,CUST_285,PROD_99,940.26,2,North America,Web
ORD_3,2023-08-15,CUST_187,PROD_95,925.24,4,North America,Web
ORD_4,2023-08-18,CUST_441,PROD_12,151.47,3,North America,Web
ORD_5,2023-12-25,CUST_4,PROD_73,124.92,1,North America,Web
ORD_6,2023-05-04,CUST_286,PROD_6,399.3,3,Asia,Web
ORD_7,2023-02-01,CUST_255,PROD_73,249.84,2,Europe,Web
ORD_8,2023-03-18,CUST_6,PROD_85,1956.84,4,Europe,Mobile
ORD_9,2023-04-18,CUST_62,PROD_64,624.32,2,Asia,Mobile
ORD_10,2023-08-16,CUST_18,PROD_15,424.51,1,Europe,Mobile
ORD_11,2023-12-19,CUST_433,PROD_69,337.5,3,Europe,Mobile
ORD_12,2023-01-17,CUST_70,PROD_20,215.98,2,Europe,Mobile
ORD_13,2023-06-09,CUST_84,PROD_78,1945.44,4,Europe,Mobile
ORD_14,2023-12-12,CUST_51,PROD_70,145.56,4,North America,Mobile
ORD_15,2023-10-03,CUST_334,PROD_50,630.61,3,Europe,Mobile
ORD_16,2023-01-03,CUST_284,PROD_45,219.15,1,Europe,Mobile
ORD_17,2023-03-26,CUST_339,PROD_71,261.64,4,Asia,Mobile
ORD_18,2023-05-01,CUST_124,PROD_69,112.5,1,Asia,Web
ORD_19,2023-12-23,CUST_84,PROD_41,1235.88,4,Europe,Mobile
ORD_20,2023-12-11,CUST_345,PROD_29,127.26,1,Europe,Mobile
ORD_21,2023-12-24,CUST_266,PROD_54,320.76,1,Europe,Mobile
ORD_22,2023-10-06,CUST_200,PROD_83,968.55,3,Asia,Web
ORD_23,2023-08-11,CUST_107,PROD_41,308.97,1,Europe,Web
ORD_24,2023-06-21,CUST_448,PROD_55,913.84,4,Europe,Web
ORD_25,2023-10-23,CUST_38,PROD_92,615.64,2,North America,Web
ORD_26,2023-11-05,CUST_102,PROD_37,1497.09,3,Asia,Mobile
ORD_27,2023-06-18,CUST_493,PROD_75,347.99,1,North America,Mobile
ORD_28,2023-12-08,CUST_305,PROD_21,35.68,1,Europe,Mobile
ORD_29,2023-10-05,CUST_330,PROD_95,462.62,2,Europe,Mobile
ORD_30,2023-12-19,CUST_162,PROD_76,250.24,2,Europe,Web
ORD_31,2024-01-01,CUST_408,PROD_29,127.26,1,Asia,Mobile
ORD_32,2023-01-10,CUST_337,PROD_13,591.18,2,North America,Mobile
ORD_33,2023-11-16,CUST_381,PROD_27,1921.48,4,Europe,Web
ORD_34,2023-10-04,CUST_456,PROD_22,373.18,1,Europe,Mobile
ORD_35,2023-05-14,CUST_156,PROD_45,525.96,4,Europe,Mobile
ORD_36,2023-11-14,CUST_10,PROD_20,431.96,4,Europe,Mobile
ORD_37,2023-01-16,CUST_214,PROD_11,529.71,3,North America,Web
ORD_38,2023-03-12,CUST_335,PROD_97,157.01,1,Europe,Mobile
ORD_39,2023-07-20,CUST_291,PROD_39,394.2,2,North America,Web
ORD_40,2023-06-26,CUST_116,PROD_30,101.18,2,Asia,Mobile
ORD_41,2023-05-17,CUST_364,PROD_100,1232.64,4,North America,Mobile
ORD_42,2023-05-01,CUST_226,PROD_65,213.47,1,Asia,Web
ORD_43,2023-07-21,CUST_200,PROD_87,1925.12,4,Asia,Mobile
ORD_44,2023-02-15,CUST_3,PROD_83,968.55,3,Europe,Mobile
ORD_45,2023-11-01,CUST_438,PROD_35,342.45,3,Asia,Mobile
ORD_46,2023-03-06,CUST_90,PROD_10,358.57,1,Europe,Mobile
ORD_47,2023-10-20,CUST_361,PROD_71,196.23,3,Europe,Mobile
ORD_48,2023-06-13,CUST_20,PROD_52,647.13,3,Europe,Mobile
ORD_49,2023-04-02,CUST_84,PROD_72,1341.6,4,Europe,Web
ORD_50,2023-08-28,CUST_19,PROD_16,873.16,2,Europe,Web
ORD_51,2023-05-25,CUST_401,PROD_77,1039.58,4,Europe,Mobile
ORD_52,2023-11-15,CUST_282,PROD_32,1457.67,3,North America,Mobile
ORD_53,2023-08-29,CUST_480,PROD_73,124.92,1,Europe,Web
ORD_54,2023-07-18,CUST_199,PROD_36,324.21,1,Asia,Mobile
ORD_55,2023-05-12,CUST_406,PROD_100,616.32,2,North America,Mobile
ORD_56,2023-03-28,CUST_57,PROD_18,278.57,2,Europe,Web
ORD_57,2023-07-29,CUST_321,PROD_58,186.88,2,North America,Web
ORD_58,2023-06-09,CUST_346,PROD_54,320.76,1,Asia,Mobile
ORD_59,2023-02-19,CUST_63,PROD_16,1746.32,4,Europe,Web
ORD_60,2023-07-23,CUST_3,PROD_92,615.64,2,Europe,Mobile
ORD_61,2023-05-13,CUST_456,PROD_7,437.9,3,Europe,Mobile
ORD_62,2023-08-27,CUST_128,PROD_36,324.21,1,North America,Web
ORD_63,2023-04-07,CUST_18,PROD_80,826.74,2,Europe,Web
ORD_64,2023-12-23,CUST_151,PROD_4,1412.34,3,Europe,Web
ORD_65,2023-07-08,CUST_102,PROD_54,962.28,3,Asia,Mobile
ORD_66,2023-06-19,CUST_277,PROD_76,250.24,2,North America,Web
ORD_67,2023-01-20,CUST_42,PROD_61,44.36,2,Europe,Mobile
ORD_68,2023-10-05,CUST_368,PROD_91,1444.56,3,North America,Mobile
ORD_69,2023-03-14,CUST_314,PROD_81,1810.8,4,Europe,Web
ORD_70,2023-11-19,CUST_474,PROD_19,364.77,1,Europe,Web
ORD_71,2023-07-11,CUST_346,PROD_61,36.97,1,Asia,Web
ORD_72,2023-04-17,CUST_448,PROD_20,215.98,2,Europe,Web
ORD_73,2023-04-04,CUST_119,PROD_16,436.58,1,Asia,Web
ORD_74,2023-01-27,CUST_182,PROD_20,431.96,4,Asia,Web
ORD_75,2023-05-16,CUST_32,PROD_84,1193.64,3,Asia,Mobile
ORD_76,2023-10-31,CUST_105,PROD_22,1119.54,3,Europe,Web
ORD_77,2023-12-03,CUST_24,PROD_69,337.5,3,Europe,Web
ORD_78,2023-07-29,CUST_41,PROD_35,228.3,2,Europe,Mobile
ORD_79,2023-03-20,CUST_88,PROD_95,231.31,1,Europe,Web
ORD_80,2023-05-20,CUST_334,PROD_77,1299.48,3,Europe,Web
ORD_81,2023-01-24,CUST_113,PROD_57,1083.06,3,Europe,Mobile
ORD_82,2023-11-02,CUST_491,PROD_10,215.14,1,Europe,Mobile
ORD_83,2023-10-08,CUST_35,PROD_36,324.21,1,North America,Mobile
ORD_84,2023-06-09,CUST_305,PROD_58,373.76,4,Europe,Web
ORD_85,2023-09-02,CUST_294,PROD_46,1890.24,4,North America,Mobile
ORD_86,2023-05-27,CUST_430,PROD_67,152.28,3,Asia,Mobile
ORD_87,2023-12-08,CUST_109,PROD_19,364.77,1,Asia,Web
ORD_88,2023-03-13,CUST_465,PROD_63,211.92,4,Asia,Mobile
ORD_89,2023-11-13,CUST_398,PROD_2,143.76,1,Europe,Web
ORD_90,2023-09-26,CUST_150,PROD_18,464.28,2,Europe,Web
ORD_91,2023-05-04,CUST_490,PROD_74,158.38,2,North America,Mobile
ORD_92,2023-03-04,CUST_308,PROD_13,354.71,2,Europe,Web
ORD_93,2023-11-21,CUST_94,PROD_35,205.47,3,Europe,Mobile
ORD_94,2023-11-24,CUST_288,PROD_31,1131.57,3,Asia,Web
ORD_95,2023-03-11,CUST_304,PROD_23,85.0,2,Europe,Mobile
ORD_96,2023-09-05,CUST_168,PROD_72,335.4,1,North America,Mobile
ORD_97,2023-08-23,CUST_363,PROD_24,1342.36,4,Europe,Mobile
ORD_98,2023-12-14,CUST_462,PROD_56,218.45,1,Europe,Web
ORD_99,2023-07-08,CUST_429,PROD_65,426.94,2,Europe,Web
ORD_100,2023-05-11,CUST_174,PROD_3,906.74,2,North America,Web
ORD_101,2023-08-08,CUST_307,PROD_49,14.13,1,Europe,Mobile
ORD_102,2023-06-04,CUST_140,PROD_52,431.42,2,Europe,Mobile
ORD_103,2023-08-31,CUST_70,PROD_81,1810.8,4,Europe,Web
ORD_104,2023-03-20,CUST_351,PROD_4,564.94,2,Europe,Mobile
ORD_105,2023-03-16,CUST_71,PROD_70,72.78,2,Asia,Web
ORD_106,2023-09-26,CUST_167,PROD_97,157.01,1,Asia,Mobile
ORD_107,2023-08-30,CUST_386,PROD_65,426.94,2,North America,Web
ORD_108,2023-09-20,CUST_106,PROD_49,70.65,3,North America,Web
ORD_109,2023-02-07,CUST_473,PROD_23,85.0,2,Europe,Mobile
ORD_110,2023-11-25,CUST_88,PROD_10,358.57,1,Europe,Web
ORD_111,2023-05-15,CUST_47,PROD_49,23.55,1,Europe,Web
ORD_112,2023-10-06,CUST_44,PROD_5,242.52,2,Europe,Mobile
ORD_113,2023-12-24,CUST_247,PROD_35,114.15,1,North America,Web
